,Title,Author,Average Rating,#Pages,Ratings Count,Publication Date,Language Code,Average Ranking,Log Reg Predicted Rating,Log Reg Ranking,Lin Reg Predicted Rating,Lin Reg Ranking,KNN Reg Predicted Rating,KNN Reg Ranking,KNN Class Predicted Rating,KNN Class Ranking
59,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,352,153317,11/15/2002,eng,51.0,5,26.0,4.433632786010577,86.0,4.4,82.0,5,10.0
109,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,205,6,6/1/1984,spa,51.75,5,40.0,4.7490786892199255,63.0,4.4,83.0,5,21.0
168,Americana,Don DeLillo,3.43,377,393,7/6/1989,eng,52.5,5,54.0,4.28248109857484,101.0,4.8,23.0,5,32.0
219,The Lovely Bones,Alice Sebold,3.81,532,367,4/1/2004,en-US,52.75,5,74.0,4.68281853629972,68.0,4.8,25.0,5,44.0
186,Slouching Towards Bethlehem,Joan Didion,4.21,238,26934,10/1/1990,eng,53.5,5,60.0,4.338605567677103,95.0,4.8,24.0,5,35.0
227,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,540,166046,4/25/2006,eng,57.25,5,80.0,4.667674586002692,70.0,4.8,27.0,5,52.0
205,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.7999999999999994,544,4762,8/7/2001,eng,58.0,5,68.0,4.134412946232208,122.0,5.0,3.0,5,39.0
182,The Year of Magical Thinking,Joan Didion,3.89,227,2656,10/4/2005,en-US,58.25,5,58.0,4.413856886397762,88.0,4.6,53.0,5,34.0
280,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.9500000000000006,272,3702,5/11/2005,eng,60.5,5,109.0,5.349550932656878,22.0,4.8,32.0,5,79.0
277,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,4.16,450,1474,6/1/2005,eng,63.0,5,106.0,5.957899003750073,5.0,4.6,65.0,5,76.0
128,The Portrait of a Lady,Henry James/Patricia Crick,3.78,797,61640,9/30/2003,eng,63.25,5,44.0,4.297453019835629,99.0,4.4,85.0,5,25.0
325,Shibumi,Trevanian/Gisela Stege,4.21,480,9498,5/10/2005,eng,63.75,5,131.0,5.527038280224114,16.0,5.0,13.0,5,95.0
236,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,224,2750,12/1/1963,eng,64.0,5,89.0,4.57194578865163,79.0,4.8,28.0,5,60.0
234,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,352,2403,9/8/2006,eng,64.5,5,87.0,4.879135428671845,52.0,4.6,61.0,5,58.0
233,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,1392,211671,6/25/1998,eng,65.25,5,86.0,4.822934990650703,58.0,4.6,60.0,5,57.0
282,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4.27,259,51,4/30/2006,en-GB,65.5,5,111.0,6.044899413520265,4.0,4.6,66.0,5,81.0
294,Of Mice and Men,John Steinbeck,3.8699999999999997,103,1755253,1/8/2002,eng,65.5,5,118.0,4.971366299636619,45.0,5.0,12.0,5,87.0
329,The Good Earth (House of Earth  #1),Pearl S. Buck,3.98,418,200744,3/4/2009,eng,66.25,5,132.0,5.335848686923077,23.0,5.0,14.0,5,96.0
223,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,575,288,5/15/2005,mul,67.5,5,78.0,4.168545128456676,118.0,4.8,26.0,5,48.0
330,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,3.93,5,26,3/15/2005,eng,67.75,5,133.0,5.301716504698609,26.0,5.0,15.0,5,97.0
15,In a Sunburned Country,Bill Bryson,4.07,335,72451,5/15/2001,eng,68.25,5,8.0,4.413941428875289,87.0,3.6,175.0,5,3.0
254,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.19,352,6375,5/13/2008,eng,69.0,5,96.0,4.942223121205681,47.0,4.6,64.0,5,69.0
339,Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,3.9500000000000006,405,814,11/26/2003,eng,69.75,5,137.0,5.3274218587924045,25.0,5.0,16.0,5,101.0
288,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,4.5,192,111091,5/3/2005,eng,70.0,5,115.0,5.6705477631183125,12.0,4.6,68.0,5,85.0
431,Hamlet,William Shakespeare/Stephen Orgel/A.R. Braunmuller,4.02,148,1658,12/1/2001,eng,73.25,5,153.0,5.934316718831297,7.0,5.0,18.0,5,115.0
207,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,576,278,9/17/1998,eng,73.5,5,69.0,4.620945086346939,75.0,4.2,110.0,5,40.0
268,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.1,418,5,3/31/2001,fre,73.75,5,101.0,4.361335113443492,93.0,4.8,30.0,5,71.0
278,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,4.24,381,1929,12/1/2004,eng,74.5,5,107.0,4.456905223672004,83.0,4.8,31.0,5,77.0
264,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,4.03,480,0,5/1/2006,spa,75.0,5,99.0,4.277166968097594,102.0,4.8,29.0,5,70.0
332,Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,3.74,384,811,4/4/2002,eng,75.5,5,134.0,5.20619576731411,32.0,4.8,38.0,5,98.0
281,The Psychology of Everyday Things,Donald A. Norman,4.17,257,265,6/13/1988,eng,78.0,5,110.0,4.409120168557748,89.0,4.8,33.0,5,80.0
20,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,270,28489,9/28/1991,eng,78.25,5,10.0,3.8334214900889316,177.0,4.0,121.0,5,5.0
309,Angeles & Demonios,Dan Brown/Raúl Amundaray,3.89,18,65,12/1/2005,spa,78.25,5,123.0,4.715300953994397,64.0,4.8,36.0,5,90.0
414,The Odyssey,Homer/W.H.D. Rouse,3.76,304,262,8/1/1999,eng,79.25,5,142.0,5.219848640203898,31.0,4.8,40.0,5,104.0
145,100 Years of Lynchings,Ralph Ginzburg,4.61,270,88,11/22/1996,eng,79.5,5,48.0,3.7459941262366057,191.0,4.6,51.0,5,28.0
68,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,592,784,7/1/2004,en-US,80.0,5,30.0,6.245789105000438,2.0,3.8,147.0,4,141.0
337,Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,3.74,201,3877,6/10/1999,en-US,84.0,5,135.0,5.6830982819409,11.0,4.4,91.0,5,99.0
235,Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,1168,322483,8/1/1999,eng,84.5,5,88.0,4.081451219202851,129.0,4.6,62.0,5,59.0
217,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,216,1,1/1/1989,eng,85.0,5,73.0,5.381957340228502,21.0,3.6,203.0,5,43.0
165,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,32,5239,2/2/1998,eng,85.25,5,52.0,3.9788529413540905,151.0,4.2,108.0,5,30.0
338,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,3.65,288,401,4/1/2005,en-US,85.75,5,136.0,5.621660353936856,15.0,4.4,92.0,5,100.0
284,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,3.86,197,1631221,5/1/1993,eng,86.25,5,112.0,4.17537156490157,117.0,4.8,34.0,5,82.0
239,Anthem,Ayn Rand,3.6300000000000003,105,110952,12/1/1999,eng,89.25,5,91.0,3.7169194590723804,197.0,5.0,6.0,5,63.0
440,History of the Peloponnesian War  Bk. 7-8,Thucydides/C.F. Smith,4.29,480,35,1/1/1923,eng,91.25,5,161.0,6.058552286410053,3.0,4.6,78.0,5,123.0
340,The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,4.13,245,228,10/1/2005,en-US,91.25,5,138.0,4.858716937404964,54.0,4.6,71.0,5,102.0
213,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,828,1577,10/11/2004,en-US,93.25,5,71.0,4.315430647063066,98.0,3.8,162.0,5,42.0
311,The Da Vinci Code,Dan Brown,3.84,467,1120,3/28/2006,eng,93.5,5,125.0,4.1617186920117835,120.0,4.8,37.0,5,92.0
310,The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84,489,1679706,3/28/2006,eng,94.0,5,124.0,4.379724704173293,91.0,4.6,70.0,5,91.0
308,Ángeles y demonios (Robert Langdon  #1),Dan Brown,3.89,508,196,12/1/2005,spa,94.0,5,122.0,4.078978251032559,130.0,4.8,35.0,5,89.0
429,The Fifth Mountain,Paulo Coelho/Clifford E. Landers,3.6199999999999997,256,1415,4/26/2000,en-US,94.75,5,151.0,5.069821355967667,40.0,4.6,75.0,5,113.0
436,On Justice  Power and Human Nature: Selections from The History of the Peloponnesian War,Thucydides/Paul Woodruff,3.72,172,610,10/1/1993,eng,95.75,5,157.0,5.669445409051113,13.0,4.4,94.0,5,119.0
204,Collapse of Complex Societies,Joseph A. Tainter,4.15,262,719,3/29/1990,eng,98.25,5,67.0,3.983603091876593,150.0,4.0,138.0,5,38.0
434,Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth,Giorgio De Santillana/Hertha Von Dechend,4.29,450,489,3/24/2015,eng,98.5,5,155.0,4.967939920523262,46.0,4.6,76.0,5,117.0
296,The Westing Game,Ellen Raskin,4.02,182,142121,4/12/2004,eng,99.5,5,119.0,5.220714015375927,30.0,4.6,69.0,4,180.0
430,Veronika Decides to Die,Paulo Coelho/Margaret Jull Costa/Kâmuran Şipal,3.7000000000000006,210,132064,6/1/2006,eng,99.5,5,152.0,5.072259072696855,39.0,4.4,93.0,5,114.0
291,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,4.52,192,14923,7/5/2005,eng,100.75,5,117.0,3.753310016539274,189.0,5.0,11.0,5,86.0
428,By the River Piedra I Sat Down and Wept,Paulo Coelho/Alan R. Clarke,3.57,208,70760,5/23/2006,eng,101.75,5,150.0,4.659942257452127,71.0,4.6,74.0,5,112.0
285,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57,192,9013,9/19/2006,eng,104.0,5,113.0,3.9724753415792815,153.0,4.6,67.0,5,83.0
426,Warrior of the Light,Paulo Coelho,3.7000000000000006,142,22662,3/30/2004,en-US,104.5,5,149.0,4.444665808722497,85.0,4.6,73.0,5,111.0
220,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.7999999999999994,224,1371,5/13/1990,eng,104.75,5,75.0,3.5853797339680358,243.0,4.6,56.0,5,45.0
423,The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield,4.44,137,8159,2/1/1994,eng,104.75,5,147.0,4.0001425925767595,147.0,5.0,17.0,5,108.0
439,The Peloponnesian War: A New Translation  Backgrounds  Interpretations,Thucydides/Jennifer Tolbert Roberts/Walter Blanco,3.9,554,24,7/17/1998,eng,106.25,5,160.0,4.7017088991724085,66.0,4.6,77.0,5,122.0
343,Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus,3.99,68,11178,2/16/1993,en-US,106.5,5,139.0,4.751237218300089,62.0,4.8,39.0,4,186.0
121,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,217,981,2/1/1964,eng,107.0,5,42.0,3.6310005412790556,232.0,4.0,131.0,5,23.0
222,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.7999999999999994,456,549,8/1/2006,en-US,107.25,5,77.0,3.563250660103562,248.0,4.6,57.0,5,47.0
324,The Richest Man in Babylon,George S. Clason,4.26,4,86,6/17/2005,eng,107.25,5,130.0,5.111361402380709,38.0,3.8,167.0,5,94.0
438,The Peloponnesian War,Thucydides/Steven Lattimore,3.9,530,154,6/1/1998,eng,107.75,5,159.0,4.2248063845456185,108.0,4.8,43.0,5,121.0
231,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,191,27,9/1/2004,eng,108.0,5,84.0,3.8112924162244584,182.0,4.2,111.0,5,55.0
424,The Pilgrimage: A Contemporary Quest for Ancient Wisdom,Paulo Coelho/Alan R. Clarke,3.64,272,888,5/1/1995,en-US,108.75,5,148.0,4.24319597527542,106.0,4.6,72.0,5,109.0
99,The Untouchable,John Banville,3.9500000000000006,367,2163,6/30/1998,eng,109.5,5,37.0,4.087100437035617,127.0,4.0,127.0,4,147.0
66,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,436,38778,7/1/1987,eng,111.75,5,29.0,3.8401871084660266,176.0,3.4,230.0,5,12.0
106,Wrinkles in Time,George Smoot/Keay Davidson,4.01,360,1035,10/1/1994,eng,115.5,5,39.0,4.0182428704434585,144.0,4.0,129.0,4,150.0
30,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.8800000000000003,144,2067,1/23/2001,eng,117.25,5,15.0,3.5896493057658265,242.0,4.4,80.0,4,132.0
230,Motorcycle Basics Techbook,John Harold Haynes,3.85,222,40,7/5/2002,eng,118.25,5,83.0,3.4805102191243393,277.0,4.6,59.0,5,54.0
420,The Complete Pelican Shakespeare,William Shakespeare/Stephen Orgel/A.R. Braunmuller,4.5,1808,578,11/7/2002,eng,120.75,5,144.0,4.7639985091014045,61.0,3.8,172.0,5,106.0
201,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,1075,21,11/7/2002,fre,122.75,5,66.0,4.358840726096193,94.0,3.8,160.0,4,171.0
141,Treasure Island,Robert Louis Stevenson,3.83,245,5967,6/1/2005,eng,123.25,5,47.0,4.904954551557625,50.0,3.4,239.0,4,157.0
269,The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,815,19320,6/14/2005,en-US,123.75,5,102.0,3.63673546362175,231.0,4.4,90.0,5,72.0
416,Eclogues. Georgics. Aeneid: Books 1-6,Virgil/Henry Rushton Fairclough/G.P. Goold,4.22,607,414,10/1/1999,mul,124.25,5,143.0,4.572858288644381,78.0,3.8,171.0,5,105.0
316,A Killing Rain (Louis Kincaid  #6),P.J. Parrish,4.04,383,456,2/1/2005,eng,124.75,5,127.0,4.191325162500906,113.0,3.8,166.0,5,93.0
275,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.2,464,1567,3/28/2006,en-US,129.75,5,104.0,4.060282839232418,132.0,3.6,209.0,5,74.0
289,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,4.55,200,10752,11/8/2005,eng,139.75,5,116.0,4.121798242038164,123.0,4.0,141.0,4,179.0
433,Shakespeare's Hamlet,William Shakespeare/Terri Mategrano,4.02,240,102,5/29/2000,eng,140.5,5,154.0,3.872730344228501,172.0,4.2,120.0,5,116.0
36,The Changeling,Zilpha Keatley Snyder,4.17,228,1176,6/8/2004,eng,141.0,5,17.0,3.7876159626677435,186.0,3.4,226.0,4,135.0
437,History of the Peloponnesian War: Bk. 5-6,Thucydides/C.F. Smith,4.35,400,38,1/1/1921,mul,141.25,5,158.0,3.5811587207733475,245.0,4.8,42.0,5,120.0
237,The Fountainhead,Ayn Rand,3.8699999999999997,752,1886,4/26/2005,en-US,144.75,5,90.0,3.8128813626864515,181.0,3.4,247.0,5,61.0
55,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,138,31,3/29/2006,eng,145.25,5,24.0,3.3412163380425617,503.0,4.6,45.0,5,9.0
287,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57,192,11451,7/18/2006,eng,150.0,5,114.0,4.3295443004235565,97.0,3.6,211.0,4,178.0
422,Hamlet,William Shakespeare/Harold Bloom/Rex Gibson,4.02,289,609271,8/1/2005,eng,151.5,5,146.0,3.431195583079501,312.0,4.8,41.0,5,107.0
56,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,128,62,3/14/2006,en-US,160.5,4,395.0,5.298896739092824,27.0,4.4,81.0,4,139.0
16,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,304,49240,6/28/2000,eng,160.5,4,384.0,5.189910019654168,34.0,4.2,96.0,4,128.0
18,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,254,48701,3/28/1993,eng,161.75,4,386.0,5.162604273874593,35.0,4.2,97.0,4,129.0
279,The Design of Everyday Things,Donald A. Norman,4.17,240,18602,9/19/2002,eng,163.0,5,108.0,3.5203534501395906,256.0,3.6,210.0,5,78.0
93,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,803,9564,7/1/2003,eng,164.25,4,402.0,4.198524074211199,111.0,4.0,126.0,5,18.0
243,Sailing for Dummies,J.J. Isler/Peter Isler,3.9500000000000006,416,150,6/1/2006,eng,171.25,5,93.0,3.3701718483519296,415.0,4.2,112.0,5,65.0
190,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,308,43200,3/28/2006,eng,172.5,4,435.0,5.203387703346225,33.0,4.6,54.0,4,168.0
77,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,240,10,2/7/2000,eng,174.0,4,397.0,5.230632374643887,29.0,4.0,124.0,4,146.0
435,History of the Peloponnesian War: Bk. 1-2,Thucydides/C.F. Smith,4.32,496,208,1/1/1919,mul,175.75,5,156.0,3.8725072010500656,173.0,3.4,256.0,5,118.0
110,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,367,376,6/1/1994,eng,178.5,4,409.0,4.260592348329422,103.0,4.6,50.0,4,152.0
158,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,368,2623,12/27/2005,eng,178.75,5,49.0,3.4394348323305692,306.0,3.6,197.0,4,163.0
139,Treasure Island,Robert Louis Stevenson,3.83,311,318753,9/15/2001,eng,178.75,4,418.0,4.0483424724235375,138.0,4.0,132.0,5,27.0
286,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56,192,16666,9/13/2005,eng,181.25,4,454.0,4.641494325866859,72.0,4.2,115.0,5,84.0
178,Vineland,Thomas Pynchon,3.69,385,702,9/1/1997,en-US,184.0,4,433.0,6.475450292378108,1.0,4.0,136.0,4,166.0
138,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,100,3015,6/14/2011,eng,192.0,5,46.0,3.398476213661207,373.0,3.6,193.0,4,156.0
146,Cien años de soledad,Gabriel García Márquez,4.07,448,63,1/1/1990,spa,203.25,4,421.0,4.4996472537776215,80.0,3.8,152.0,4,160.0
42,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,334,1456,5/15/2006,eng,210.75,4,393.0,3.746898404826903,190.0,4.0,123.0,4,137.0
100,The Untouchables,Eliot Ness/Oscar Fraley,3.89,256,613,2/1/1996,eng,211.0,4,405.0,4.024345340296401,142.0,3.8,149.0,4,148.0
151,The Door Into Summer,Robert A. Heinlein,4.01,304,17232,6/17/1997,eng,212.0,4,423.0,4.20105082063176,110.0,3.8,154.0,4,161.0
136,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,216,1308,2/21/1995,eng,212.75,4,417.0,4.085783268300444,128.0,3.8,151.0,4,155.0
144,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,232,91,1/31/2006,eng,213.75,4,420.0,4.479678946657122,82.0,3.6,194.0,4,159.0
197,The Music of Chance,Paul Auster,3.9,217,361,12/1/1991,en-US,220.25,4,439.0,3.8010325718778875,184.0,4.4,88.0,4,170.0
28,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,208,270244,4/1/2000,eng,224.25,4,388.0,3.4804263226475274,278.0,4.2,100.0,4,131.0
107,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,250,36,5/1/2002,eng,227.0,4,408.0,3.940437423064616,160.0,3.6,189.0,4,151.0
157,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,298,22091,4/26/2005,eng,228.25,4,428.0,3.8926523679503604,167.0,3.8,156.0,4,162.0
212,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,249,478,6/27/2006,eng,228.25,4,443.0,4.049475238922148,137.0,3.8,161.0,4,172.0
160,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,336,5,7/1/2003,eng,230.25,4,430.0,3.8926523679503604,168.0,3.8,158.0,4,165.0
415,Aeneid: Selections from Books 1  2  4  6  10  12,Virgil/Barbara Weiden Boyd,4.35,161,69,1/1/2001,eng,233.5,4,468.0,3.957157600839726,156.0,4.2,118.0,4,192.0
187,Democracy,Joan Didion,3.81,234,2070,4/25/1995,en-US,236.25,5,61.0,3.2878404177367337,761.0,4.4,87.0,5,36.0
159,Douglas Adams's Starship Titanic,Terry Jones,3.6,256,885,10/27/1998,eng,243.5,4,429.0,3.6673799652688683,224.0,3.8,157.0,4,164.0
258,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,3.99,533,397,10/12/2004,eng,244.75,4,451.0,4.0128499564201885,145.0,3.6,207.0,4,176.0
34,Changeling (Changeling  #1),Delia Sherman,3.6,256,978,8/17/2006,eng,249.25,4,390.0,3.398509085308803,372.0,4.2,101.0,4,134.0
116,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,191,2897,8/10/2004,eng,255.25,4,410.0,3.686468157641635,222.0,3.4,235.0,4,154.0
398,The Histories,Herodotus/Carolyn Dewald/Robin Waterfield,3.99,772,271,11/19/1998,eng,259.5,4,466.0,3.9336109866197226,161.0,3.6,220.0,4,191.0
262,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,3.75,363,1,4/1/2006,eng,268.25,4,453.0,3.6243331765100457,235.0,3.6,208.0,4,177.0
419,Paul Kirk's Championship Barbecue Sauces: 175 Make-Your-Own Sauces  Marinades  Dry Rubs  Wet Rubs  Mops and Salsas,Paul  Kirk,3.94,272,55,12/3/1997,eng,280.5,4,469.0,3.60435017102933,238.0,3.6,222.0,4,193.0
314,Deception Point,Dan Brown,3.7099999999999995,585,3353,5/1/2004,eng,288.25,4,459.0,3.447342132796775,297.0,3.6,215.0,4,182.0
